created_at,username,text,likes,retweets,hashtags
Sat Nov 16 17:41:29 +0000 2019,mauriciomacri,7 de DICIEMBRE 17:00 PLAZA DE MAYO #7D https://t.co/M8VrCOZrdf,26125,7816,[Hashtag(Text='7D')]
Thu Nov 14 15:25:02 +0000 2019,mauriciomacri,https://t.co/7iHU09WaS3,4480,1443,[]
Wed Nov 13 18:42:01 +0000 2019,mauriciomacri,"Esta tarde tuvimos una reunión de seguimiento con el Ministro de Producción y Trabajo, Dante Sica, en Olivos https://t.co/YSZYxHrUL0",4357,719,[]
Wed Nov 06 22:54:27 +0000 2019,mauriciomacri,https://t.co/FHp63B9ees,7786,2467,[]
Mon Nov 04 21:49:35 +0000 2019,mauriciomacri,Reunión de gabinete ampliado https://t.co/oNbDrAFv3F,5165,1090,[]
Mon Nov 04 13:13:21 +0000 2019,mauriciomacri,Volviendo de Chapadmalal quería agradecerles una vez más a los marplatenses por su apoyo y por recibirnos a mi familia y a mí con tanto cariño siempre. Gracias!!!,27222,3901,[]
Fri Nov 01 22:00:08 +0000 2019,mauriciomacri,Esta tarde tuvimos reuniones de seguimiento de gestión en Olivos. https://t.co/fupx9sKVKJ,12542,1841,[]
Thu Oct 31 16:07:09 +0000 2019,mauriciomacri,Reunión de gabinete en Casa Rosada. https://t.co/SkIy1n8Nzq,13283,1768,[]
Tue Oct 29 12:48:42 +0000 2019,mauriciomacri,"Felicito a @rafaelmgrossi por su elección como Director General de la OIEA, primer latinoamericano que estará al frente de este organismo. Este logro argentino es un hito histórico en nuestro compromiso con la no proliferación y el uso pacífico de la energía nuclear",13823,2712,[]
Mon Oct 28 19:27:00 +0000 2019,mauriciomacri,"Esta mañana recibí en la Casa Rosada al presidente electo, Alberto Fernández. Mi equipo y yo estamos a disposición para trabajar juntos y lograr una transición democrática que beneficie a todos los argentinos https://t.co/3lOTlNufdG",86036,7106,[]
Mon Oct 28 02:09:28 +0000 2019,mauriciomacri,GRACIAS 🇦🇷  Esto recién empieza. Ahora más juntos que nunca para defender los valores en los que creemos. https://t.co/a9VDaifJEm,113719,15517,[]
Mon Oct 28 01:22:20 +0000 2019,mauriciomacri,https://t.co/XuI0w6o3JK,26036,4463,[]
Mon Oct 28 01:05:15 +0000 2019,mauriciomacri,En vivo desde Costa Salguero https://t.co/tK874Gx7An,7854,1285,[]
Mon Oct 28 00:10:29 +0000 2019,mauriciomacri,En vivo desde Costa Salguero https://t.co/oYP7ntVplF,10297,1802,[]
Sun Oct 27 21:36:23 +0000 2019,mauriciomacri,Felicitaciones a todos los argentinos que fueron a votar y se expresaron en paz. Ahora paciencia y tranquilidad mientras se cuentan los votos. Más que nunca fuerza a los fiscales responsables de cuidar la voluntad de la gente y gracias por su compromiso!!!,135924,15640,[]
Sun Oct 27 16:52:05 +0000 2019,mauriciomacri,Alegría 🇦🇷 https://t.co/gIUW2ehbZm,16790,3270,[]
Sun Oct 27 15:49:02 +0000 2019,mauriciomacri,Ya voté! 🇦🇷 https://t.co/fQ1CDhiK0T,69648,6747,[]
Fri Oct 25 02:57:34 +0000 2019,mauriciomacri,La verdadera fuerza está en nosotros. https://t.co/3eCQo0THZq,40315,11408,[]
Fri Oct 25 02:15:09 +0000 2019,mauriciomacri,#SíSePuede https://t.co/1QEh90rJMD,11842,3400,[Hashtag(Text='SíSePuede')]
Fri Oct 25 01:02:46 +0000 2019,mauriciomacri,"En estas semanas dos millones de argentinos nos movilizamos en más de 30 ciudades. Nunca un incidente, siempre en familia, en paz, sin destrozar nada. Me llena de orgullo. Vamos Argentina!!!! #SíSePuede",55170,14389,[Hashtag(Text='SíSePuede')]
Fri Oct 25 00:34:24 +0000 2019,mauriciomacri,https://t.co/9CUhNMCCh6,26390,7101,[]
Thu Oct 24 22:56:35 +0000 2019,mauriciomacri,Impresionante Córdoba! Nos vemos en minutos. #SíSePuede https://t.co/60FHLOCC21,20748,4490,[Hashtag(Text='SíSePuede')]
Thu Oct 24 22:55:41 +0000 2019,mauriciomacri,En vivo: cierre de campaña en Córdoba https://t.co/DHpZnDaNtB,12926,4663,[]
Thu Oct 24 21:00:19 +0000 2019,mauriciomacri,Vamos Argentina!! #SíSePuede https://t.co/SPcZEuQfu8,15538,5385,[Hashtag(Text='SíSePuede')]
Thu Oct 24 20:00:13 +0000 2019,mauriciomacri,En una hora cerramos juntos la campaña! A las 18:00 en punto publicamos todos juntos esta foto en las redes con el hashtag #SíSePuede. Para descargarla: https://t.co/751pCUTxVj https://t.co/L37cykAK0Z,4886,1534,[Hashtag(Text='SíSePuede')]
Thu Oct 24 19:02:13 +0000 2019,mauriciomacri,"Faltan dos horas! A las 18:00 hacemos el cierre de campaña digital publicando esta foto en todas las redes, con el hashtag #SíSePuede. Para descargarla: https://t.co/751pCUTxVj https://t.co/rclz0E1XZm",6695,2221,[Hashtag(Text='SíSePuede')]
Thu Oct 24 18:12:28 +0000 2019,mauriciomacri,Este domingo vamos todos a votar. https://t.co/xzwV6GHJJY,33397,10509,[]
Thu Oct 24 15:47:02 +0000 2019,mauriciomacri,"En https://t.co/ltU4Dd24j4 podés consultar en qué escuela votás. Donde dice “tipo de documento”, hay una letra que identifica el ejemplar, podés votar con ese o con cualquier ejemplar posterior.",1867,812,[]
Thu Oct 24 15:47:02 +0000 2019,mauriciomacri,"6. Recordá que tenés que llevar el último documento que hayas obtenido. Si en el padrón figurás con un documento y llevás un ejemplar anterior, no vas a poder votar. Si nunca gestionaste el DNI tarjeta, podés votar con tu DNI libreta, tu libreta cívica o la de enrolamiento.",1805,766,[]
Thu Oct 24 15:47:01 +0000 2019,mauriciomacri,"5. Denunciá si ves algo raro. Si notás algo irregular o si obstaculizan de cualquier manera tu derecho a votar, avisale a los fiscales de Juntos por el Cambio. También lo podés grabar con tu celular.",4685,2202,[]
Thu Oct 24 15:47:00 +0000 2019,mauriciomacri,"Si sabés de un amigo o vecino que no está seguro de si puede ir a votar, ofrecele tu ayuda. Si tienen hijos chicos, podés ofrecerles cuidarlos mientras ellos van a votar.",3798,1616,[]
Thu Oct 24 15:47:00 +0000 2019,mauriciomacri,4. Acompañá a tus familiares y conocidos a votar. Ayudá a que las personas mayores que conozcas puedan ir a votar e incentivá a tus familiares más jóvenes para que vayan también. Es clave que el domingo seamos la mayor cantidad posible de votantes.,2751,1335,[]
Thu Oct 24 15:46:59 +0000 2019,mauriciomacri,"Estos tres elementos tienen que estar visibles. También podés confirmar que las boletas que están en el cuarto oscuro cuenten con estas condiciones, así ayudás a cuidar todos los votos. Si están dañadas o adulteradas, avisale al fiscal de Juntos por el Cambio.",2418,1242,[]
Thu Oct 24 15:46:59 +0000 2019,mauriciomacri,"3. Confirmá que tu boleta esté en condiciones. Esto es muy importante. Para que tu voto por Juntos por el Cambio cuente la boleta debe decir “Juntos por el Cambio”, “Lista 135” y “candidatos a Presidente y Vicepresidente de la Nación” (no precandidatos, no sirven las de las PASO)",3358,2062,[]
Thu Oct 24 15:46:59 +0000 2019,mauriciomacri,"2. Si faltan boletas, contás con los fiscales. Si en el cuarto oscuro no hay boletas de Juntos por el Cambio, decile a los fiscales de la mesa: “faltan boletas”. Podés comunicárselo al fiscal de Juntos por el Cambio o al presidente de mesa, que tiene que reponerlas.",2998,1655,[]
Thu Oct 24 15:46:58 +0000 2019,mauriciomacri,"1. Llevá tu boleta. En el cuarto oscuro habrá boletas, pero lo mejor es que lleves la tuya. Podés conseguirla en los locales partidarios de Juntos por el Cambio o a través de los voluntarios que las reparten en la calle.",3001,1533,[]
Thu Oct 24 15:46:57 +0000 2019,mauriciomacri,"SEIS CLAVES PARA CUIDAR EL VOTO. La elección del domingo es una oportunidad histórica. Para cuidar los votos, llevá tu boleta o confirmá que esté en condiciones en el cuarto oscuro, acompañá a tus familiares y amigos a votar y denunciá cualquier irregularidad.",20853,8784,[]
Thu Oct 24 14:19:59 +0000 2019,mauriciomacri,Será una forma de estar unidos y confiados para seguir transformando el país. A las 18:00 todos publicamos esta foto con el hashtag #SíSePuede. También podés descargarla la imagen en https://t.co/ZMKKymH6hz https://t.co/wUzXyLp7XA,4412,1549,[Hashtag(Text='SíSePuede')]
Thu Oct 24 14:18:31 +0000 2019,mauriciomacri,Cerramos la campaña electoral con la alegría de haber visto la confianza y el poder de la gente en acción. Por eso quiero invitarte a que esta tarde a las 18:00 en punto publiques esta foto en tus redes con el hashtag #SíSePuede. https://t.co/aPoxrokCEJ,10303,3650,[Hashtag(Text='SíSePuede')]
Thu Oct 24 12:28:28 +0000 2019,mauriciomacri,Hoy cierre de campaña en Córdoba!! #SíSePuede https://t.co/woOtJcpzbL,13425,3711,[Hashtag(Text='SíSePuede')]
Thu Oct 24 01:26:11 +0000 2019,mauriciomacri,Gracias Mar del Plata!!!! 🇦🇷 https://t.co/7hkjOGd4H3,11056,2766,[]
Thu Oct 24 00:36:28 +0000 2019,mauriciomacri,Acá está el corazón de la Argentina. https://t.co/QIoiilQWDu,33391,9408,[]
Wed Oct 23 23:27:01 +0000 2019,mauriciomacri,Gracias Mar del Plata!!! #SíSePuede 🇦🇷 🇦🇷 🇦🇷 https://t.co/eMo02vvvwV,13135,3360,[Hashtag(Text='SíSePuede')]
Wed Oct 23 21:59:16 +0000 2019,mauriciomacri,En vivo desde Mar del Plata: La Marcha del #SíSePuede https://t.co/Kq8eknethf,11771,4353,[Hashtag(Text='SíSePuede')]
Wed Oct 23 16:55:47 +0000 2019,mauriciomacri,Hoy nos vemos en Mar del Plata con La Marcha del #SíSePuede 🇦🇷 https://t.co/aB3yXTwnVX,7210,2073,[Hashtag(Text='SíSePuede')]
Wed Oct 23 02:20:45 +0000 2019,mauriciomacri,#SíSePuedeRosario https://t.co/OmGDEdwWu0,12714,3670,[Hashtag(Text='SíSePuedeRosario')]
Wed Oct 23 00:02:39 +0000 2019,mauriciomacri,Vamos Santa Fe!!! Sí se puede!! #SíSePuedeRosario https://t.co/ltidy38Vl5,11576,2996,[Hashtag(Text='SíSePuedeRosario')]
Tue Oct 22 23:25:44 +0000 2019,mauriciomacri,"GRACIAS ROSARIO, GRACIAS SANTA FE!!! Mucha emoción ❤️🇦🇷 https://t.co/UhQg0xU6wu",25618,6845,[]
Tue Oct 22 22:03:56 +0000 2019,mauriciomacri,https://t.co/kfjJumwaaW,10811,3830,[]
Tue Oct 22 21:21:06 +0000 2019,mauriciomacri,Ahora en Rosario. #SíSePuede 🇦🇷 https://t.co/KmhUkHK6gz,9399,2215,[Hashtag(Text='SíSePuede')]
Tue Oct 22 01:54:53 +0000 2019,mauriciomacri,Gracias Jujuy!!! 🇦🇷🇦🇷 https://t.co/BO4hINlFt8,14699,3668,[]
Mon Oct 21 23:28:56 +0000 2019,mauriciomacri,En vivo desde Jujuy: La Marcha del #SíSePuede https://t.co/HUr6NezDq7,11858,3983,[Hashtag(Text='SíSePuede')]
Mon Oct 21 16:55:36 +0000 2019,mauriciomacri,Este miércoles vamos a Mar del Plata con La Marcha. #SíSePuede https://t.co/jxu2yoVbUG,4777,1751,[Hashtag(Text='SíSePuede')]
Mon Oct 21 15:12:36 +0000 2019,mauriciomacri,Hoy llega La Marcha a Jujuy! https://t.co/f6gF598aFc,8867,2383,[]
Mon Oct 21 03:00:32 +0000 2019,mauriciomacri,Queda una semana. Todos a trabajar para darla vuelta. Vamos que sí se puede!!!,65823,14184,[]
Mon Oct 21 02:08:14 +0000 2019,mauriciomacri,No solo vamos a dar vuelta esta elección. Vamos a dar vuelta la historia de la Argentina. #MacriPresidente,41044,10412,[Hashtag(Text='MacriPresidente')]
Mon Oct 21 02:07:29 +0000 2019,mauriciomacri,"Habrán visto que en las últimas semanas el kirchnerismo volvió a ponerse agresivo. Y es por lo que están haciendo ustedes. Cientos de miles de argentinos marchando con alegría, en paz, con libertad, convencidos de que con corazón y con fuerza vamos a dar vuelta esta historia.",36950,10217,[]
Mon Oct 21 01:49:27 +0000 2019,mauriciomacri,"Es increíble que crean que nos olvidamos de que nos mintieron 12 años, que entregaron el país destruido en su economía y que lo infectaron de narcotráfico. #MacriPresidente #DebateAR2019",18300,6240,"[Hashtag(Text='MacriPresidente'), Hashtag(Text='DebateAR2019')]"
Mon Oct 21 01:46:30 +0000 2019,mauriciomacri,Aguantar la agresividad kirchnerista es duro pero aguantar que digan que ellos son los que saben es imposible.,84261,17426,[]
Mon Oct 21 01:38:28 +0000 2019,mauriciomacri,"Fuimos con kilómetros de pavimento para sacar la gente del barro y para que puede ir a trabajar, al colegio. Fuimos a los barrios para echar al narcotráfico y devolver la libertad. Fuimos con los espacios de primera infancia para que los chicos tengan igualdad de oportunidades.",11324,3532,[]
Mon Oct 21 01:35:25 +0000 2019,mauriciomacri,"Ellos siempre han usado los pobres, siempre han hecho clientelismo. Esta semana vimos imágenes de tristeza en La Matanza. 35 años gobernando La Matanza y no pudieron hacer UNA obra. #MacriPresidente #DebateAR2019",18901,7006,"[Hashtag(Text='MacriPresidente'), Hashtag(Text='DebateAR2019')]"
Mon Oct 21 01:30:02 +0000 2019,mauriciomacri,Es indignante escucharlos hablar de pobreza. No les creo nada. Gobernaron 24 de los últimos 30 años y la única idea genial que tuvieron fue ocultarla. #MacriPresidente #DebateAR2019,33496,11081,"[Hashtag(Text='MacriPresidente'), Hashtag(Text='DebateAR2019')]"
Mon Oct 21 01:26:47 +0000 2019,mauriciomacri,"Esta semana quedó claro que el kirchnerismo y Alberto Fernández son lo mismo. Creo que Alberto Fernández dijo la primera vez una verdad en toda la campaña: ""Cristina y yo somos lo mismo"". #MacriPresidente #DebateAR2019",13764,4953,"[Hashtag(Text='MacriPresidente'), Hashtag(Text='DebateAR2019')]"
Mon Oct 21 01:23:42 +0000 2019,mauriciomacri,"Lo único que reconoce Alberto Fernández de nuestro gobierno es haber normalizado el INDEC. Qué paradoja, porque él fue el que firmó el primer decreto interviniéndolo. #MacriPresidente #DebateAR2019",12279,4482,"[Hashtag(Text='MacriPresidente'), Hashtag(Text='DebateAR2019')]"
Mon Oct 21 01:21:15 +0000 2019,mauriciomacri,El autoritarismo destruye la posibilidad de crecer. #MacriPresidente #DebateAR2019,6440,2110,"[Hashtag(Text='MacriPresidente'), Hashtag(Text='DebateAR2019')]"
Mon Oct 21 01:20:24 +0000 2019,mauriciomacri,"Son tantas las diferencias que tenemos, que ellos no aceptan, no creen, no ven, que Maduro es un dictador. Eso ya marca una enorme diferencia entre nuestra visión de la democracia y la visión de ellos. #MacriPresidente #DebateAR2019",11234,4185,"[Hashtag(Text='MacriPresidente'), Hashtag(Text='DebateAR2019')]"
Mon Oct 21 01:19:19 +0000 2019,mauriciomacri,"Hice 300 mil kilómetros recorriendo el país como presidente, porque creo en lo que estoy haciendo. Creo de verdad que el futuro de la Argentina pasa por el desarrollo federal de este país. #MacriPresidente #DebateAR2019",9505,3035,"[Hashtag(Text='MacriPresidente'), Hashtag(Text='DebateAR2019')]"
Mon Oct 21 01:18:09 +0000 2019,mauriciomacri,Nosotros de verdad creemos en el federalismo. Desde el primer día trabajé codo a codo con todos los gobernadores independientemente de su pertenencia política y les dimos más recursos #MacriPresidente #DebateAR2019,6223,2149,"[Hashtag(Text='MacriPresidente'), Hashtag(Text='DebateAR2019')]"
Mon Oct 21 01:17:30 +0000 2019,mauriciomacri,"Ahora el kirchnerismo habla de federalismo, después de prepotear a propios y ajenos con látigo y chequera para tenerlos todos disciplinaditos, gobernadores y diputados. #MacriPresidente #DebateAR2019",8708,3195,"[Hashtag(Text='MacriPresidente'), Hashtag(Text='DebateAR2019')]"
Mon Oct 21 00:58:35 +0000 2019,mauriciomacri,"Es difícil creer que usted no vio nada. Los departamentos de Muñoz, las valijas de Antonini Wilson, los bolsos de López. La efedrina. Los vio Lavagna del otro lado de la calle y usted que estaba en la oficina de al lado dice que hubo ""un descuido ético"" de Néstor y Cristina.",51667,16462,[]
Mon Oct 21 00:51:28 +0000 2019,mauriciomacri,"Dimos vuelta la energía después de la peor gestión energética de la historia, que nos dejó sin gas ni petróleo y con cortes todos los veranos. Hoy tenemos Vaca Muerta relanzado, energías renovables que llegan a abastecer el 10% de la demanda y redujimos los cortes en un 40%",12453,4166,[]
Mon Oct 21 00:47:39 +0000 2019,mauriciomacri,"En la obra pública encontramos una matriz de corrupción. Se robaban la plata de las obras. No lo digo yo, lo dicen los jueces que condenaron a De Vido, Jaime y López. Lo dijo Lavagna, que renunció denunciándolo. Fernández se quedó gobernando 3 años más y se fue sin denunciar nada",15776,6023,[]
Mon Oct 21 00:41:12 +0000 2019,mauriciomacri,Por el precio de una autopista kirchnerista nosotros hacemos dos. #MacriPresidente #DebateAR2019,28548,8632,"[Hashtag(Text='MacriPresidente'), Hashtag(Text='DebateAR2019')]"
Mon Oct 21 00:29:05 +0000 2019,mauriciomacri,"Nosotros estamos con las víctimas del delito. Nosotros apoyamos las fuerzas de seguridad. Nosotros combatimos las mafias, desde las barras bravas hasta el narcotráfico. Esto es lo que hicimos estos 4 años y lo vamos a seguir haciendo. #MacriPresidente",9402,3294,[Hashtag(Text='MacriPresidente')]
Mon Oct 21 00:27:00 +0000 2019,mauriciomacri,"Cuando Alberto Fernández fue jefe de gabinete, llegamos a importar 20.000 kilos de efedrina por año. Esos 20 mil kilos sirvieron para producir droga y transformarnos en productores del narcotráfico internacional. Nosotros no transamos con la droga. #MacriPresidente",19000,7171,[Hashtag(Text='MacriPresidente')]
Mon Oct 21 00:24:50 +0000 2019,mauriciomacri,"En este tema, como en muchos otros, somos distintos. Ellos abandonan a las víctimas del delito, alientan las barras bravas, menosprecian las fuerzas de seguridad, descuidan las fronteras. Esa es la política de seguridad del kirchnerismo. No van a cambiar. #MacriPresidente",8648,3221,[Hashtag(Text='MacriPresidente')]
Mon Oct 21 00:07:37 +0000 2019,mauriciomacri,"Yo siempre he sido coherente con las ideas que defiendo. Ustedes saben lo que pienso, lo que hice y lo que voy a hacer. No cambio para acomodarme. Y tengo un compañero de fórmula que siempre da la cara. #MacriPresidente #DebateAR2019",9322,3090,"[Hashtag(Text='MacriPresidente'), Hashtag(Text='DebateAR2019')]"
Mon Oct 21 00:06:55 +0000 2019,mauriciomacri,Este debate tiene que servir para que todos podamos elegir en qué tipo de país queremos vivir. No se elige solo el presidente. Se elige en qué sociedad vamos a vivir con nuestras familias. #MacriPresidente #DebateAR2019,9621,3326,"[Hashtag(Text='MacriPresidente'), Hashtag(Text='DebateAR2019')]"
Mon Oct 21 00:01:50 +0000 2019,mauriciomacri,Acompañame en el debate con el hashtag #MacriPresidente #DebateAR2019,9800,2985,"[Hashtag(Text='MacriPresidente'), Hashtag(Text='DebateAR2019')]"
Sun Oct 20 23:18:05 +0000 2019,mauriciomacri,Nos declaramos rebeldes. https://t.co/kthq54WoCN,17459,5733,[]
Sun Oct 20 00:08:22 +0000 2019,mauriciomacri,No aceptemos que quienes destruyeron el país ahora nos digan que son ellos los que saben. https://t.co/Php2rzN4To,24489,8430,[]
Sat Oct 19 23:54:34 +0000 2019,mauriciomacri,#SíSePuede #19o https://t.co/kqCYpRCVQb,9554,2232,"[Hashtag(Text='SíSePuede'), Hashtag(Text='19o')]"
Sat Oct 19 23:31:53 +0000 2019,mauriciomacri,Supimos conseguir. https://t.co/UuD6tVT0hB,36529,9768,[]
Sat Oct 19 22:49:08 +0000 2019,mauriciomacri,¿Creemos que tenemos que ser libres para pensar y poder decir lo que pensamos?,2633,1141,[]
Sat Oct 19 22:49:08 +0000 2019,mauriciomacri,¿Creemos que la plata de las obras tiene que ir a las obras y no a los bolsillos de los funcionarios?,2346,1040,[]
Sat Oct 19 22:49:07 +0000 2019,mauriciomacri,¿Creemos que hay que combatir a los narcos y a las mafias?,1082,525,[]
Sat Oct 19 22:49:06 +0000 2019,mauriciomacri,¿Creemos que hay que decirles definitivamente basta de impunidad?,1059,520,[]
Sat Oct 19 22:49:05 +0000 2019,mauriciomacri,¿Creemos que la Justicia tiene que ser independiente?,927,482,[]
Sat Oct 19 22:49:04 +0000 2019,mauriciomacri,¿Creemos que el que gobierna tiene que estar al servicio de los ciudadanos?,926,467,[]
Sat Oct 19 22:49:03 +0000 2019,mauriciomacri,¿Creemos que integrados al mundo tenemos un futuro mejor?,983,483,[]
Sat Oct 19 22:49:03 +0000 2019,mauriciomacri,¿Creemos que la educación y el trabajo son el camino para progresar?,1051,521,[]
Sat Oct 19 22:49:02 +0000 2019,mauriciomacri,¿Creemos que la honestidad es importante?,4309,1983,[]
Sat Oct 19 22:27:58 +0000 2019,mauriciomacri,https://t.co/Re3J3m3sid,13487,3318,[]
Sat Oct 19 21:59:40 +0000 2019,mauriciomacri,#19o #SíSePuede https://t.co/IEVxbpHSe7,27643,7492,"[Hashtag(Text='19o'), Hashtag(Text='SíSePuede')]"
Sat Oct 19 21:12:06 +0000 2019,mauriciomacri,A cuadras del Obelisco. Sí se puede!!!!,11292,1728,[]
Sat Oct 19 20:49:42 +0000 2019,mauriciomacri,Yendo. #19o #SíSePuede https://t.co/trfqqFVhhy,18426,4289,"[Hashtag(Text='19o'), Hashtag(Text='SíSePuede')]"
Sat Oct 19 20:39:07 +0000 2019,mauriciomacri,AHORA EN EL OBELISCO #19o #SíSePuede https://t.co/l5xjzPC1kZ,10308,4094,"[Hashtag(Text='19o'), Hashtag(Text='SíSePuede')]"
Sat Oct 19 20:33:15 +0000 2019,mauriciomacri,Multitudinario #19o. #SíSePuede https://t.co/DJWofhRr5t,18771,5280,"[Hashtag(Text='19o'), Hashtag(Text='SíSePuede')]"
Sat Oct 19 20:07:08 +0000 2019,mauriciomacri,Ahora en el Obelisco #19o #SíSePuede https://t.co/BN7aCOlNhQ,13714,3604,"[Hashtag(Text='19o'), Hashtag(Text='SíSePuede')]"
Sat Oct 19 14:22:54 +0000 2019,mauriciomacri,LLEGÓ EL DÍA!!! Nos vemos a las 17:30 en el Obelisco!!!  #SíSePuede  #19o https://t.co/FRIciucfIx,20565,6832,"[Hashtag(Text='SíSePuede'), Hashtag(Text='19o')]"
Fri Oct 18 21:21:16 +0000 2019,mauriciomacri,En vivo desde Corrientes: La Marcha del #SíSePuede https://t.co/CBbJ6u9R3Y,9239,3387,[Hashtag(Text='SíSePuede')]
Fri Oct 18 20:48:18 +0000 2019,mauriciomacri,Quiero aclarar algo sobre la propuesta de hoy. Nuestro objetivo es combatir el comercio y tráfico ilícito de armas de fuego. De ninguna manera pensamos restringir los derechos de los legítimos usuarios de armas que cumplen con la ley y sus reglamentaciones particulares.,15272,4145,[]
Fri Oct 18 15:22:47 +0000 2019,mauriciomacri,En estos años actualizamos los reglamentos de uso de armas para las fuerzas de seguridad y reforzamos los controles para la tenencia y portación de armas en los civiles. Ahora vamos a eliminar las armas de guerra para que estas no lleguen nunca a las manos de los delincuentes.,3264,861,[]
Fri Oct 18 15:22:45 +0000 2019,mauriciomacri,"Vamos a prohibir que los civiles compren o importen, tengan consigo o en sus casas, fabriquen y utilicen armas de guerra. Son un peligro para las familias y para las fuerzas armadas y de seguridad, que se enfrentan a las mafias todos los días. Vamos a eliminarlas de la calle.",4268,1072,[]
Fri Oct 18 15:22:45 +0000 2019,mauriciomacri,VAMOS A PROHIBIR COMPLETAMENTE LAS ARMAS DE GUERRA. Hoy la ley permite comprar armas capaces de atravesar chalecos antibalas y puertas blindadas. Esto solo beneficia a las mafias y a los delincuentes. Vamos a prohibirlas por completo. #PropuestasNuevaEtapa,17289,4535,[Hashtag(Text='PropuestasNuevaEtapa')]
Fri Oct 18 02:41:38 +0000 2019,mauriciomacri,Vamos Chaco!!! Gracias por salir hoy a la calle. #SíSePuede https://t.co/KrRzZ7cUpg,13725,3464,[Hashtag(Text='SíSePuede')]
Fri Oct 18 00:31:12 +0000 2019,mauriciomacri,Estos son los lugares donde vamos a estar la semana que viene con la Marcha del #SíSePuede. Antes nos vemos el sábado en el Obelisco a las 17:30 🇦🇷 https://t.co/T1zEBbh16O,6418,2980,[Hashtag(Text='SíSePuede')]
Thu Oct 17 22:47:14 +0000 2019,mauriciomacri,En vivo desde Sáenz Peña: La Marcha del #SíSePuede https://t.co/OBeBT5q5Lu,9481,3264,[Hashtag(Text='SíSePuede')]
Thu Oct 17 16:49:06 +0000 2019,mauriciomacri,"Transformamos la forma de viajar de millones de argentinos y probamos que es posible sin corrupción. Vamos a seguir trabajando para mejorar la seguridad de las rutas, bajar los costos logísticos, multiplicar los vuelos internos y expandir más el transporte público.",2976,939,[]
Thu Oct 17 16:49:06 +0000 2019,mauriciomacri,"Vamos a construir 6 Metrobuses en Mendoza, Córdoba, Mar del Plata, Rosario y Santa Fe. En el Gran Buenos Aires, vamos constuir 100 km más de Metrobus y pavimentar todas las calles por las que pasan colectivos.",3370,1084,[]
Thu Oct 17 16:49:05 +0000 2019,mauriciomacri,"4. VAMOS A MEJORAR EL TRANSPORTE PÚBLICO. Queremos que un 50% más de personas use el tren todos los días. Entre otras obras, vamos a electrificar el San Martín, eliminar las barreras del Sarmiento y terminar el viaducto del Belgrano Sur y extenderlo hasta Constitución.",1264,541,[]
Thu Oct 17 16:49:05 +0000 2019,mauriciomacri,"Nuestro plan para duplicar este número es terminar de renovar la infraestructura y la tecnología de los aeropuertos, seguir impulsando el crecimiento de Aerolíneas Argentinas y seguir promoviendo la llegada de más aviones y más puestos de trabajo en el sector.",1021,439,[]
